Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
NMF;Q1;2;0;0;Initial;Memory;82313216
NMF;Q1;2;0;0;Initial;Elements;167197|723178|404286
NMF;Q1;2;0;1;Update;Time;5279200
NMF;Q1;2;0;1;Update;Memory;82825216
NMF;Q1;2;0;1;Update;Elements;167197|723178|404286
NMF;Q1;2;0;2;Update;Time;2557000
NMF;Q1;2;0;2;Update;Memory;82825216
NMF;Q1;2;0;2;Update;Elements;167197|723178|404286
NMF;Q1;2;0;3;Update;Time;2367400
NMF;Q1;2;0;3;Update;Memory;82825216
NMF;Q1;2;0;3;Update;Elements;167197|723178|404286
NMF;Q1;2;0;4;Update;Time;2462900
NMF;Q1;2;0;4;Update;Memory;82825216
NMF;Q1;2;0;4;Update;Elements;404236|167197|723178
NMF;Q1;2;0;5;Update;Time;4209800
NMF;Q1;2;0;5;Update;Memory;83087360
NMF;Q1;2;0;5;Update;Elements;404236|167197|723178
NMF;Q1;2;0;6;Update;Time;3228800
NMF;Q1;2;0;6;Update;Memory;83087360
NMF;Q1;2;0;6;Update;Elements;404236|167197|723178
NMF;Q1;2;0;7;Update;Time;3030100
NMF;Q1;2;0;7;Update;Memory;83218432
NMF;Q1;2;0;7;Update;Elements;404236|167197|723178
NMF;Q1;2;0;8;Update;Time;2458600
NMF;Q1;2;0;8;Update;Memory;83218432
NMF;Q1;2;0;8;Update;Elements;404236|167197|723178
NMF;Q1;2;0;9;Update;Time;2686700
NMF;Q1;2;0;9;Update;Memory;83218432
NMF;Q1;2;0;9;Update;Elements;404236|167197|723178
NMF;Q1;2;0;10;Update;Time;2699300
NMF;Q1;2;0;10;Update;Memory;83218432
NMF;Q1;2;0;10;Update;Elements;404236|167197|723178
NMF;Q1;2;0;11;Update;Time;3294900
NMF;Q1;2;0;11;Update;Memory;83218432
NMF;Q1;2;0;11;Update;Elements;167197|404236|723178
NMF;Q1;2;0;12;Update;Time;2986900
NMF;Q1;2;0;12;Update;Memory;83218432
NMF;Q1;2;0;12;Update;Elements;167197|404236|723178
NMF;Q1;2;0;13;Update;Time;3241300
NMF;Q1;2;0;13;Update;Memory;83218432
NMF;Q1;2;0;13;Update;Elements;167197|404236|723178
NMF;Q1;2;0;14;Update;Time;3570300
NMF;Q1;2;0;14;Update;Memory;83218432
NMF;Q1;2;0;14;Update;Elements;167197|404236|723178
NMF;Q1;2;0;15;Update;Time;2643600
NMF;Q1;2;0;15;Update;Memory;83218432
NMF;Q1;2;0;15;Update;Elements;167197|404236|723178
NMF;Q1;2;0;16;Update;Time;2835100
NMF;Q1;2;0;16;Update;Memory;83218432
NMF;Q1;2;0;16;Update;Elements;167197|404236|723178
NMF;Q1;2;0;17;Update;Time;3988000
NMF;Q1;2;0;17;Update;Memory;83349504
NMF;Q1;2;0;17;Update;Elements;167197|404236|723178
NMF;Q1;2;0;18;Update;Time;3656900
NMF;Q1;2;0;18;Update;Memory;83349504
NMF;Q1;2;0;18;Update;Elements;167197|404236|723178
NMF;Q1;2;0;19;Update;Time;2709900
NMF;Q1;2;0;19;Update;Memory;83349504
NMF;Q1;2;0;19;Update;Elements;167197|404236|723178
NMF;Q1;2;0;20;Update;Time;3061200
